Country Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Germany,71,71,71,72,73,73,74,74,75,75,76,76,77,81,89,90,87,89,84,85,89,91,93,93,91,83,81,78,78,78,78,96,96,96,102,94,90,93,93,94
Greece,113700,122000,116700,118440,124180,126070,124930,127050,114790,110430,118160,121670,117280,106350,107620,96170,96550,99610,93760,90480,91430,89770,90730,95820,93290,86710,87150,88570,81900,82050,83040,83500,81180,81190,83069,86490,86720,86080,87060,87760
Hungary,1838000,1836200,1745000,1812000,1991000,1893000,1911000,1963000,1828000,1673000,1911747,2026068,1876800,1703800,1626800,1683300,1737000,1720000,1632000,1609000,1527600,1561442,1646277,1632047,1577971,1546741,1486675,1502561,1502901,1515808,1530258,1566806,1493865,1400331,1410854,1447906,1466099,1432780,1460000,1428460
Iceland,1892590,1922770,1855427,1854174,1982190,1993137,2109861,2098518,1987982,1953392,2111968,2180707,1789700,1570337,1420300,1407800,1481800,1447600,1367000,1374000,1303500,1361500,1316375,1226235,1258000,1166900,1193180,1185724,1199431,1189615,1205002,1170376,1146255,1116507,1142603,1132340,1155483,1137008,1109000,1107000
Ireland,111323,105663,98514,95406,91206,84365,85073,84468,83870,84318,79431,79188,75825,72596,70778,72187,70931,72379,73070,71902,70062,74874,73072,74349,77030,72429,72874,75773,72372,73937,71956,69817,69463,68746,49216,39199,39172,41766,39630,33460
Italy,153100,141000,140600,127400,131800,145500,124200,129300,110100,113900,113800,122800,123200,97100,72100,57500,50200,55270,47020,50970,66940,51600,47620,39173,37513,32241,33303,34258,32121,30149,27598,26432,25394,23457,24080,27315,28939,28162,30180,30820
Latvia,2224,2538,2289,2759,2807,3239,3416,3302,2923,2890,2932,2998,3380,3401,3541,3061,3142,3441,3443,3664,3626,3683,3639,3624,3611,3540,3196,3557,3607,3761,3895,3858,4114,4082,3495,3605,4387,4614,4775,4826
Lithuania,446400,316300,344900,353000,402281,448226,509443,483620,459100,432400,515000,557100,568200,528500,447800,481100,538400,569500,594800,643800,576900,579400,540000,568000,563600,546000,537300,580800,537300,514500,559100,547100,495400,517600,582100,564100,588400,617000,622540,619800
Luxembourg,1146823,1109545,1106395,1187744,1181266,1204074,1179364,1173809,1164410,1145402,1164855,1181141,1217170,1187265,1170832,1180461,1180537,1159360,1111280,1164433,1151935,1133037,1133800,1126869,1145103,1101972,1109214,1118531,1056912,1049261,1068900,1000374,957787,842122,694634,771767,791284,739830,809220,779820
North Macedonia,-,-,-,-,-,-,-,-,-,-,-,-,119600,107000,68100,48000,26500,25504,25837,22520,22342,19044,16043,21193,21587,20444,20684,22755,21445,20452,18414,18015,17312,16688,17659,18769,19468,18450,17480,14780
Malta,-,-,-,-,-,-,-,-,-,-,-,-,226113,161784,116140,86863,83008,89665,81419,77253,75411,47331,44732,43230,47600,52891,47323,55977,47539,45114,43717,41980,40902,37709,40240,45102,43319,41917,41670,42460
Moldova,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8167,11246,10738,10927,10700,9934,9333,9210,9171,9096,9390,9066,8585,8060,8593,9180,9529,9643,9960,10250
Netherlands,-,-,-,-,-,-,-,-,-,-,-,-,7549,8416,7545,6900,6704,7287,5835,6738,6300,6900,6738,8691,8824,7604,7132,7121,7018,7307,7100,5301,4981,5485,5522,4875,3962,4636,4381,4083
Norway,-,2282,1720,1595,1534,1422,1420,1500,1730,1550,1697,1650,1640,1640,1650,1736,1750,1686,1584,1588,1608,1536,1636,1408,1290,1390,1398,1386,1479,1543,1422,1128,1111,1134,1129,1032,1151,1117,1070,1030
Poland,-,-,-,-,-,-,-,-,-,-,-,-,72800,68300,61800,46700,38900,34888,24400,21100,17979,15580,16106,16300,16024,15641,14975,15178,10584,11046,10158,9676,9509,8288,8220,8419,9513,7609,8052,7628
Portugal,-,437364,420200,450268,514817,510854,539425,540000,507000,486000,521000,622802,635000,611000,603000,579972,580100,564700,534700,507600,471000,372000,384000,365000,386000,396008,384000,385571,378383,401752,388610,381559,373531,379100,376180,382520,416060,440639,459210,424300
Romania,-,76448,81325,75810,70600,74100,75400,77566,76565,76332,82802,79155,83496,82832,86730,84108,85122,88130,90890,95344,90568,85806,85637,85314,86572,87393,87643,84678,86447,84787,83508,81638,77982,83696,78732,79672,81676,85196,89396,87008
Russian Federation,-,524300,674000,642000,686500,723500,751900,735100,688900,636700,725400,662500,544100,480400,421300,385700,414900,429100,429900,384600,348500,316300,281300,317400,310500,309500,362900,379500,393400,396900,400900,391200,382900,373900,446300,486700,512000,569200,564790,560500
Slovak Republic,-,120882,126923,109662,99433,99772,105004,104608,114568,131111,116411,132689,127308,120426,95164,105016,100304,109538,96709,98214,100787,96312,106638,105772,119260,119019,106087,91743,108540,102995,93159,96003,92988,84011,79843,88645,90704,91187,93790,92030
Slovenia,-,289000,228500,209000,235000,231500,190500,206300,191000,219500,316500,317000,249500,252000,258000,201781,177415,185104,150245,153000,162000,144558,156106,185400,161618,190196,159313,164642,149660,155199,154464,142306,114464,96179,107581,118851,116177,110991,92760,101760
Spain,-,-,-,-,-,-,-,-,-,-,-,-,3631500,3358800,3240200,2733500,2629825,2394900,2246500,1867600,1897900,1878600,1967400,2002300,1953900,1809200,1721500,1699200,1768716,1740628,1727311,1625469,1641519,1633258,1654135,1649373,1588769,1569267,1608136,1625163
Sweden,-,-,-,-,-,-,-,-,-,-,-,-,-,92810,67064,59336,61109,65572,58813,50164,47950,38175,41640,32885,25580,26385,21413,22989,19862,17672,15611,13177,13177,11721,11597,10711,10261,10534,10670,10710
Switzerland,-,-,-,-,-,-,-,-,-,-,-,-,38166,51527,52200,51200,33641,33781,33721,34482,34572,39159,40472,43136,40079,37382,37908,36203,36943,35260,35772,35571,33089,32104,31566,33583,35656,35795,34870,35740
Ukraine,-,417674,419926,421780,398418,400662,439661,449534,450277,459259,513898,509284,539418,488000,483734,508492,564602,592252,650727,661068,651093,650841,678838,706369,713886,715329,670048,620166,658332,598431,606596,604113,591319,580840,585218,626104,637013,643861,669010,695170
United Kingdom,-,158272,160849,160730,155332,157713,147235,134792,127496,138726,145255,132000,125450,136660,136720,143330,137420,148890,142500,144040,149810,143190,146480,140400,142420,135940,137410,133540,128790,139830,137800,137880,125340,125880,131620,143980,131250,132070,138420,139670
유고슬라비아,-,155752,159932,152165,165139,169829,171160,171868,153912,156566,165242,173742,165400,156042,143281,148138,159164,152355,147768,147302,128394,137831,139895,137203,134378,132763,135336,133453,135960,142182,143475,144490,144922,143600,143854,141909,144456,139744,147971,145671
세르비아 몬테네그로,-,-,-,-,-,-,-,-,-,-,-,-,1655600,1379000,1427000,1185900,1047800,929600,793300,791200,754300,645700,703800,722900,618000,561800,567400,546100,479700,453500,427700,399100,388500,427800,412700,384000,376000,363500,358900,369500
Montenegro,-,1041000,965000,1038000,1152000,1179000,1062037,1118256,946101,977789,1001743,1019566,973000,888000,947000,1002000,710000,688000,699000,679000,705000,645000,694000,699000,719000,762000,847281,882000,862000,833000,908000,936000,885000,847000,877000,885000,915000,905000,922000,914000
Serbia,-,323000,343000,345000,350000,333000,317000,317000,301000,309417,352490,301383,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Algeria,-,-,-,-,-,-,-,-,-,-,-,-,201250,230852,196504,226600,242200,208600,215500,185200,194200,164800,166000,164000,161000,156000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Angola,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4456,4991,4612,4576,4727,4688,4391,4191,3834,3211,5416,3875,3720,3755
Benin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,83482,94593,98676,99987,95587,80645,78508,68467,73492,66032,71014,62033,71158,65008
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,44800,43700,48000,65600,47500,66800,66360,73552,81000,85000,89500,94270,96500,98200,100600,100600,99000,102000,103000,116980,132600,105000,116000,121000,125000,120000,122000,123000,125000,130500,126126,125386,135674,139948,145724,155037,164268,166291,153192,146902
Burundi,48000,50000,51000,52000,53000,54000,57000,57000,57000,58000,59000,60000,66000,68061,65000,55401,71000,77000,85000,84404,93806,94464,96202,96017,72250,84660,84863,91800,96900,97750,98600,100300,102000,105400,103854,102043,98693,98431,98566,98690
Cameroon,11854,12092,12650,13090,13420,13750,13090,13200,13310,13640,15400,15620,16390,16280,17490,15400,15510,16115,19800,18920,25653,27183,27880,28560,29274,29971,30770,31569,32453,33218,34085,34986,35887,36822,37744,38760,39763,40800,41854,42811
Cabo Verde,28593,42696,47000,42156,51093,46403,43956,35597,34449,36567,41934,44227,47379,48667,38239,45929,44125,38209,37286,26617,28980,33750,29000,26856,35000,35000,35000,35000,36000,40000,46000,47000,47000,36289,31000,35000,30000,34000,34000,34000
Central African Republic,21973,20944,24645,28340,27030,32648,34450,35934,36570,36850,56754,59033,58571,59738,60931,62146,63390,64657,65950,67269,68615,69987,71387,104555,106646,111745,113980,116259,118584,120955,123374,125841,128357,130700,115436,94973,110000,105000,108435,109228
Chad,11700,9321,9516,9568,9711,9334,11219,11570,11700,12090,10200,10540,8670,8840,7480,5440,5100,4930,5440,9150,8600,8613,7775,8739,7368,8888,12001,10732,9738,7974,7800,9938,12068,7413,10218,11795,10738,14810,13692,14935
Comoros,47460,41890,46460,48770,59710,55740,53240,61690,68480,70560,72380,74300,75000,77342,70702,73000,87510,76000,77000,91200,93000,94800,90000,89827,93000,94000,94500,95000,109600,109600,81910,85998,87495,92163,92297,91874,84856,83317,81918,80487
"Congo, Rep.",180,240,242,180,122,195,224,254,350,365,370,310,341,355,365,320,694,530,600,442,480,500,450,450,455,565,670,770,890,905,964,544,545,546,551,548,534,695,698,703
"Congo, Dem. Rep",20966,23400,26000,30560,29133,29637,30524,34710,37310,39130,40560,42000,44000,45000,45000,48000,61425,50000,51000,51000,67100,67000,69000,65500,74000,76000,78000,84000,81000,82500,85000,88000,90000,91929,92239,93232,92565,93901,95591,97279
Cote d'Ivoire,33125,37500,38125,36600,31050,32200,62160,61910,67408,68397,73245,111000,116880,123120,129600,136560,143760,151440,159480,167880,176760,186120,196080,206520,217440,228960,241080,253920,267360,281640,296520,312240,328800,346320,364680,384022,397527,420468,438483,456896
Djibouti,1320,1276,1232,1188,1144,1100,1056,1018,1034,1045,945,970,990,1012,1020,1005,1012,902,952,968,1012,1100,1265,1100,1243,1100,1265,1232,1232,1243,1243,1243,1265,1265,1233,1225,1218,1214,1216,1217
"Egypt, Arab Rep.",2106,2184,2340,2449,2324,2028,1778,1607,1521,1373,1716,1373,1217,1264,1295,1310,1342,1404,1342,1560,1622,1685,1716,1872,2808,3744,4680,5538,6080,5638,6150,6396,6552,6154,5892,5800,6166,6097,6140,6179
Equatorial Guinea,20300,20780,21240,21590,22030,22920,23800,24680,25560,26440,21770,19315,19631,20244,18506,15773,15024,15619,14459,14000,13500,13018,12490,12466,12423,12400,12380,12360,12340,12320,12200,12260,14188,15064,15079,16516,17368,18041,19312,20663
Eritrea,42470,42744,34935,42196,43155,42470,30140,28085,29455,30825,31043,32698,34177,34226,34435,36990,34770,35000,33326,32268,33232,32243,27713,26279,28445,29612,31145,28928,30678,33558,34264,31315,31080,31835,30577,30455,31419,31253,31239,31220
Ethiopia,1276,1685,1560,1240,1209,1447,1864,1864,1754,1811,2243,2952,2970,3190,3487,3278,3477,3520,3740,4180,6050,6050,6050,6050,3630,5170,2200,6000,6050,6050,6050,6050,5914,5918,5777,5974,6140,6242,6355,6469
Gabon,120000,115000,112000,112000,105000,102000,115000,135000,156685,155000,143000,270000,276000,290000,287000,285000,245342,248000,258000,273000,282000,273000,336400,329000,340000,353000,367000,393200,429902,446667,457300,454484,464579,434763,421000,430265,451285,388859,408693,381246
"Gambia, The",36,36,37,37,39,39,40,40,41,41,42,42,43,43,43,44,44,45,45,45,45,46,46,46,46,46,47,47,47,47,49,49,48,50,48,47,46,47,47,47
Ghana,-,-,-,-,-,-,-,-,-,-,-,-,-,9200,9800,10000,12200,14300,15800,16000,16350,14715,14170,16677,16650,16677,19444,22800,17180,23021,23300,23800,24000,22585,21788,21811,22177,22201,22380,22556
Guinea,-,-,-,-,-,-,-,-,-,-,-,-,-,238448,237802,235000,267000,270000,274000,290000,294000,303500,352500,338250,336000,350260,374000,363000,380000,355000,420000,410000,338150,340750,378944,387805,384931,389236,393994,391684
Guinea-Bissau,343,350,389,356,389,482,634,680,726,792,924,950,1003,1016,1030,1016,990,937,950,990,1115,1208,997,1274,1439,1571,1109,1030,1122,1122,1135,1148,1155,1162,1183,1162,1069,1063,1057,1052
Kenya,3300,3180,3120,3060,2940,2940,2880,2940,3060,3120,3120,3132,3268,3293,3317,3342,3367,3393,3418,3444,3469,3102,3144,3804,3918,3936,3965,3984,4032,4146,4080,3840,3840,3720,4052,4391,3890,3960,3931,3970
Lesotho,14375,14375,16100,17250,18630,19550,19550,20179,19751,19602,19748,20607,19999,20125,20470,20700,20930,20815,20758,21275,23750,24000,24125,24375,23070,25393,23865,23419,25350,19773,19993,20592,21221,21863,22781,23841,23841,32572,28613,28949
Liberia,12535,12317,12535,13080,13625,11990,7924,9973,13200,13472,15478,16950,18552,20296,22182,28590,29918,31290,32736,34227,34395,34364,34695,37166,39037,41022,44434,46871,49442,52110,61600,64979,68543,72302,76268,80451,84864,89518,94428,99607
Libya,2200,2310,2420,2420,2530,2530,2618,2750,2970,3080,3300,3608,3696,3790,3883,3982,4081,4180,4290,4395,4510,4532,4532,5148,5148,5247,5346,5445,6652,6149,6353,6490,6710,6715,6584,6587,6828,6972,7111,7250
Madagascar,192500,165620,185900,196800,198000,192000,199230,219497,238351,227711,215000,247000,250000,242500,241900,239000,252000,260800,270000,279000,256619,282096,318650,342700,350200,396200,430000,445000,458000,483000,462000,458000,410600,425000,442571,487176,528990,588963,417261,462125
Malawi,10800,10800,11700,12000,12000,12300,12450,12450,12600,11385,9450,10500,12600,13350,11250,11250,9750,9750,9750,11765,10140,10140,10075,10010,10140,11310,10140,10400,10400,10400,10660,12450,12600,13500,11558,9230,8790,8213,8587,9249
Mali,1663,1838,2250,2725,2188,1563,1438,1438,1138,975,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1019,1045,1056,1075,1100,1125,1138,1160,1162,1179,1157,1174,1189,1204
Mauritania,50000,51000,33400,37000,34000,21200,25400,29400,33000,27200,24000,30600,26600,25600,22100,21600,14500,40000,44000,16000,8200,6300,7400,8800,8000,7600,9600,9800,16000,9800,13400,9000,8900,8900,7791,7172,7441,7089,6651,6334
Mauritius,133875,134385,134895,135533,136094,133875,134003,137700,140505,141653,142800,143438,144075,144713,145350,145988,146625,147263,147900,147900,147900,118575,111563,114750,114750,133875,134258,134640,150450,153000,159375,165750,172125,172125,172253,165520,164940,165358,166373,161902
Morocco,11850,16626,18000,15210,15257,10282,16181,15551,16160,15554,16857,17124,16791,17600,15000,15000,22550,12120,14342,14555,17425,19475,21876,22588,22089,21344,24104,26583,28815,30046,32225,34055,35683,38382,39514,42362,41615,45736,50018,52045
Mozambique,36720,44133,45743,44556,57152,54109,62104,61053,65000,68900,71500,74100,53508,52215,59735,54080,54496,70538,73827,73307,56312,66902,85661,94023,77269,107679,105885,112320,129142,136305,143676,149500,169000,159751,160441,160000,175500,182000,183479,187914
Namibia,17160,20020,18590,17160,15730,17160,15120,15372,15876,16380,17010,19700,18200,9240,9360,9600,10200,12500,13500,14000,21000,22000,22000,23000,24000,25200,25800,25800,25800,25800,25787,27000,28200,29400,29000,29707,30082,28212,27461,27438
Niger,2049,1217,1365,1174,1018,995,1340,1467,1635,1700,2125,2250,2484,2613,3068,2676,2149,2520,3164,3199,3250,2266,2792,2872,3284,3340,3071,1995,2050,2300,2420,2883,2414,2112,2111,2213,1883,1740,1807,1781
Nigeria,107000,131000,150000,124000,114900,85000,103000,118000,122100,150045,144890,149000,145000,150000,125000,122100,103000,125000,120000,135000,140000,145000,170000,150000,140000,157000,160000,160000,180000,190000,192000,198657,204422,254000,259078,245514,257799,276548,281600,283002
레위니옹,36000,36750,36000,35250,36000,36750,31500,28500,28500,27150,14250,14250,14250,15000,14250,13500,14250,13500,13500,12750,12000,11250,3531,4941,5377,6148,6205,6691,7673,9356,8103,9926,11852,10772,11920,12303,15476,15444,13884,14481
Rwanda,48068,30402,29471,33070,34124,34827,35117,36304,37558,41245,38906,45670,48825,48985,49474,47673,45780,29827,38310,44640,63818,58035,49350,51600,43992,40191,36179,36164,36215,35993,35000,34300,35800,35500,37771,34486,34536,36423,31768,31055
Sao Tome and Principe,53000,57000,56000,55000,56000,51000,42000,48000,50000,53000,55000,53000,64000,70000,74000,62000,95000,96000,102000,110000,47549,43931,46277,45050,51440,58522,62825,53391,52622,54004,60357,54829,59105,41905,54439,58942,58909,59798,61046,57460
Senegal,370216,329125,364231,411797,425918,437724,283478,266734,236049,217530,204273,205000,210000,244378,264319,266861,280000,294000,297000,298000,279000,316031,357425,307827,323410,305610,259457,327984,328250,330250,306960,350009,288281,377794,381080,384396,298262,300856,317406,329616
Seychelles,977,890,935,1011,1131,1200,1157,1238,1159,1246,1261,1050,1060,1206,1146,1182,1127,1500,1517,1737,1615,1750,1782,1670,1733,1798,1859,-,-,-,-,-,-,-,-,-,-,-,-,-
Sierra Leone,12272,13416,13156,13312,13520,14560,13520,12480,13520,13936,14144,14352,13104,11960,10400,10400,11440,13520,15600,17680,17160,19448,19760,23638,22965,23920,28600,31200,36920,35360,27538,28311,29021,29807,32209,36582,31231,29857,33063,33924
Somalia,65,70,70,72,80,85,85,90,90,95,90,80,98,100,91,78,102,103,104,105,108,109,114,119,122,125,120,128,128,132,134,137,140,144,167,167,221,236,260,283
남아프리카공화국,30750,36750,37500,38750,37500,37500,40000,39375,39663,41275,42600,43663,42500,43750,43750,43750,43750,42500,41875,44714,46157,48407,45055,43305,43130,47196,50004,39472,52366,59464,61079,65052,76927,79533,74516,70165,70741,75263,77930,75686
South Sudan,119,90,73,47,44,66,72,75,90,86,70,83,72,65,72,65,75,52,47,42,35,30,30,30,25,20,13,17,12,8,7,3,5,10,14,10,7,8,7,6
Eswatini,5400,5490,5625,5715,5220,5220,4770,4770,4770,5220,5220,5200,5801,5868,5992,5767,4680,4270,4283,3150,3475,2590,2568,2881,3150,4138,5490,5363,6497,8500,8805,9435,10042,10951,11524,10257,9064,9246,9635,10036
Tanzania,37950,42020,40700,41800,39820,41800,35420,43505,50160,50600,46200,40700,36300,41800,44000,49500,53900,60500,61600,58300,61600,62700,61600,63800,64900,67650,66000,59400,58850,58300,59180,59620,59840,60500,59335,58498,57098,56538,55939,49902
Togo,584678,542000,582000,588000,620000,650000,604000,596000,545000,542000,609000,681000,720500,658000,557000,523000,480000,789000,522000,558000,582000,572000,579000,635000,683000,746000,832000,829000,798000,803000,897000,878000,875000,953107,1000659,1072800,1089686,1014071,1003214,1033310
Tunisia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,358000,358000,365000,366230,370831,378343,387300,388300
Uganda,16500,14300,15000,16000,12500,14300,15000,15900,11500,12000,10786,12863,13777,15289,13500,14040,13250,13600,14400,13800,17600,8018,12500,12900,15000,14300,15000,15000,15200,15400,15850,16450,17000,17100,16525,16155,15991,16279,16430,16580
Zambia,123715,130606,139960,145561,154400,162500,170200,171400,185900,193600,195200,200000,205000,210000,213000,246000,194000,193000,198000,260000,230000,181000,182000,182500,184000,204520,208046,180629,218976,225178,243943,262606,289835,299581,309353,319112,323775,394604,471692,479071
Zimbabwe,3813,4500,5000,4000,4688,4875,4625,5000,4688,5313,5200,4563,4375,4561,5675,5578,6613,6513,6146,6718,6620,8153,8063,7475,7863,8200,8325,8531,8800,9085,9250,9375,9625,9813,9170,8162,7048,5633,5664,5746
Austrailia,26200,35170,28080,31400,33700,36000,38900,38400,39000,39000,39000,35900,37700,41500,42600,43700,45200,45000,46000,50000,52000,52400,56000,50200,46700,45800,48800,52400,54000,51600,55800,54300,54600,56000,58000,59300,59300,57200,54600,55600
쿡아일랜드,85880,85350,86120,86400,88200,90000,60000,58650,64130,73050,81150,84000,86000,91500,84300,86400,87500,88500,93000,96000,96750,101400,115000,125000,135000,147000,160000,174150,169950,175049,180300,185709,191280,199008,205124,190785,175435,172510,169290,166670
Fiji,28055,30784,32608,29920,28357,31616,32256,33296,33760,34240,55200,57600,54000,51925,50400,43500,41870,50375,52500,57350,52800,54400,59200,59200,56000,59200,57600,58400,78400,121600,153600,153970,160899,197827,208000,161000,159400,209300,219757,191349
French Polynesia,76410,65968,76590,77040,87703,84401,73382,84933,80243,73398,81740,83840,94086,75443,67412,73169,67440,73605,73720,95380,101250,108000,96750,99450,102375,101700,102375,103500,103950,109000,115634,121300,122000,123000,95685,107418,106834,103501,105329,108081
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,1564400,1467200,1576195,1542890,1345276,1310020,1384923,1520723,1587724,1491478,1676726,1759569,1790870,1825813,1824805,1803417,1744696,1810300,1955253,2010530,1987902,2078900,2089742,1997563,2112892,2090272,2188318,2168946,2138328,2106385,2128598,2129021,2152031,2359064,2595149,2661640,2315994,2068616,2237675,2351793
New Zealand,7,7,7,7,7,7,7,7,7,6,5,5,2,4,4,3,2,2,10,6,6,5,3,3,2,2,2,3,3,3,4,4,4,4,4,3,3,3,3,3
니우에,7600,8360,8550,8740,8930,9120,9500,9690,9880,10070,10640,2847,2624,2430,2306,2217,2401,3279,3177,2984,2688,2874,2452,2456,2233,2252,2255,1958,1866,1719,2023,2197,1613,2272,2800,3591,2032,4207,3587,2794
Papua New Guinea,266,254,229,212,258,150,205,221,255,302,264,206,126,108,114,153,108,145,175,168,207,157,117,156,174,129,130,149,118,162,116,132,164,144,147,145,149,156,148,139
Samoa,-,-,-,-,-,-,-,-,-,-,-,246,246,246,246,245,245,245,245,245,245,245,245,245,245,245,245,258,243,242,229,240,237,240,236,237,240,241,241,241
Solomon Islands,2570,2491,2536,2410,2598,3233,3148,2379,2374,2189,2677,3033,3331,3815,4163,3696,4327,4064,4112,4260,4038,4073,4005,3998,4034,3520,2992,3131,3147,3192,3426,3414,3416,3297,3484,3612,3036,2955,2887,3214
Tonga,496000,498100,516000,512100,433400,486700,467600,554504,571626,556000,478643,525197,549647,544323,565715,597603,649271,632594,651217,554201,587457,590911,574304,632120,710348,663435,639975,631690,631020,637664,638013,618211,607044,627174,625675,675844,673070,641745,676530,683923
Vanuatu,32,39,20,33,14,11,10,9,7,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2
,2190,2130,2085,2085,2085,2400,2100,2100,2100,2100,2100,2205,2160,2250,2370,2430,2505,2475,2550,2550,2700,3000,3000,3075,3105,3135,3165,3210,3210,3210,3225,3240,3300,3265,3274,3180,3216,3237,3258,3279
,691,635,661,626,640,640,560,710,675,894,915,930,900,910,945,971,952,983,975,1000,995,1053,1300,1100,1100,1100,1100,1100,1100,1411,1435,1512,1530,1593,1734,1947,2037,1891,1994,2063
,944,740,1360,759,777,796,870,648,611,611,611,611,611,611,611,611,611,611,611,611,611,592,648,648,694,694,722,740,740,740,740,740,749,758,752,755,769,776,782,789
,193,214,229,234,238,234,259,278,296,342,304,285,285,266,266,266,646,266,266,304,350,342,342,342,342,342,352,361,361,361,349,348,370,358,351,345,345,343,342,341
,2100,2051,1940,2208,2246,2259,2008,2722,2647,2607,3026,3387,3329,3699,4069,3894,3698,3826,3565,3875,3754,3028,2531,3127,2983,3195,3083,3147,3297,2560,3537,3214,3390,3289,2987,2906,2913,2883,2844,2805
