Country Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Kuwait,5540,7910,9850,7850,4150,2165,2170,2222,1774,1640,1375,100,129,624,467,602,650,444,519,529,806,465,722,980,479,728,1259,796,1488,1624,2004,1609,1433,1353,1888,1882,1401,2151,1728,1592
Kyrgyz Republic,-,-,-,-,-,-,-,-,-,-,-,-,87800,87800,82300,84700,86377,95094,94561,95113,100622,100065,104768,94035,94595,90850,91157,90808,93345,94545,97712,98685,97074,98600,101574,99059,102689,103626,108631,102336
Lao PDR,2781,2834,2947,3030,3386,4565,5395,5246,4980,6225,7470,8300,9130,10120,11200,13259,11817,13698,14518,18500,16400,17400,20200,21500,21000,22500,23000,23750,24500,25000,25750,26900,29500,29900,30544,31828,32479,33571,34597,35533
Lebanon,11875,14310,15525,16875,16605,18765,15660,13230,15390,15120,9585,6885,27810,28215,24300,17685,10495,44200,30760,51480,57600,42903,54600,55566,52857,61467,51944,46531,46620,61568,45764,44689,44107,47545,45608,47271,42049,45408,48179,47324
"Macao SAR, China",1805,798,375,874,380,380,228,266,646,1330,818,1275,1654,1648,1603,1351,1404,1065,1138,1089,1043,1138,1086,1078,1129,1071,1239,1170,811,908,898,918,788,800,835,847,839,828,817,805
Malaysia,11794,11487,12383,10535,10830,10342,10728,10773,11748,10739,11113,11219,11637,12143,11523,13385,12405,12512,13531,15485,14674,17077,20176,21942,24305,26293,26150,28680,31370,34590,38138,40045,42287,44029,45851,43672,41137,38665,40043,38943
Mongolia,70600,69900,65500,68100,68200,68100,75327,72643,73295,72790,66200,83800,75700,64500,64400,69400,89900,86600,99300,104600,113400,66900,60700,43600,52300,45300,44200,46600,54200,58565,47547,53591,59704,56436,54876,93252,92383,97680,126591,114682
Myanmar,81960,85080,87840,89640,91320,93360,93720,95280,96960,87840,47000,46533,47154,47735,47954,49156,50413,51401,53014,60223,70844,74556,79762,95816,113500,127858,145031,157840,175132,206263,230632,249958,273478,298632,325114,357261,402106,399683,403722,435381
Nepal,40460,41225,41905,40715,40120,39440,40120,40545,40970,40630,41140,41480,41395,41310,43435,45900,47090,47770,47855,47770,48025,47175,46750,47600,48450,48875,48875,49300,49470,50150,50150,51000,51425,51850,51850,50108,49649,49315,49449,49447
Oman,4274,3399,3764,3510,3380,3250,3120,2860,2646,2650,2665,2808,2899,3055,3120,3454,4012,4232,4446,4680,3936,4048,4148,4148,4160,4810,5200,7410,8450,11440,14950,14950,15340,20800,17362,13888,14166,14449,14738,15033
Pakistan,189000,195000,201000,207000,216000,226000,248000,258000,267000,277000,287000,297000,308000,318000,330000,342000,341000,398000,405000,413000,420000,428000,437000,445000,455000,464000,632000,656000,680000,707000,733000,761000,789000,822000,850000,882000,915000,1055000,1095000,1136000
Philippines,96000,72000,59000,60000,59000,60650,67850,72150,67800,82000,82000,84000,85000,92000,90000,97360,112901,136636,155800,189934,190159,182886,186000,182813,179229,172759,167475,178041,184363,189707,194754,196233,194810,197757,201390,205708,209950,210267,209106,208399
Qatar,192,192,102,106,114,120,180,198,199,200,202,185,223,228,240,246,324,418,408,470,540,312,312,324,480,300,324,324,324,516,576,468,480,495,663,714,1078,973,1501,1657
